Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
175,30,0.0307612,0.00538322,0.097017,0.016978,16558,0.0887017,14642,0.0843717,31200,0.173073,5399.89,12779,0.0727808,14849,0.0985982,27628,0.171379,4734.86
200,30,0.0332189,0.00664378,0.715418,0.143084,9100,0.0611752,7800,0.0577807,16900,0.118956,2010.35,6982,0.127382,8158,0.0764234,15140,0.203805,3085.61
250,30,0.038463,0.00961575,2.64819,0.662047,3242,0.0345694,2751,0.035463,5993,0.0700324,419.704,2453,0.155525,2878,0.0640397,5331,0.219565,1170.5
275,30,0.0413887,0.0113819,4.57477,1.25806,2152,0.0291109,1842,0.0319146,3994,0.0610255,243.736,1625,0.182225,1914,0.0663613,3539,0.248586,879.747
300,30,0.0445446,0.0133634,7.27073,2.18122,1536,0.0263979,1327,0.0309009,2863,0.0572988,164.046,1160,0.218294,1372,0.0720322,2532,0.290326,735.106
325,30,0.0479058,0.0155694,10.7126,3.48159,1166,0.025376,1016,0.0314941,2182,0.05687,124.09,879,0.265031,1047,0.0801037,1926,0.345134,664.729
350,30,0.0506413,0.0177245,1.26745,0.443608,929,0.0253892,817,0.0334931,1746,0.0588823,102.808,704,0.0257296,838,0.089795,1542,0.115525,178.139
400,30,0.0578786,0.0231515,1.98788,0.795153,656,0.0276423,583,0.0390494,1239,0.0666916,82.6309,497,0.0295974,597,0.114067,1094,0.143665,157.169
450,30,0.0659851,0.0296933,2.78635,1.25386,510,0.0319814,458,0.0468703,968,0.0788517,76.3285,386,0.0294632,469,0.143534,855,0.172997,147.912
475,30,0.0703987,0.0334394,3.24366,1.54074,462,0.0348834,416,0.0516463,878,0.0865297,75.9731,349,0.0325106,427,0.160528,776,0.193039,149.798
500,30,0.0750701,0.037535,3.72559,1.8628,423,0.0382083,383,0.0569615,806,0.0951698,76.7068,320,0.035967,393,0.178868,713,0.214835,153.178
525,30,0.0800133,0.042007,4.33316,2.27491,392,0.0420273,356,0.0627832,748,0.10481,78.3982,296,0.0398044,365,0.198573,661,0.238377,157.567
550,30,0.0852428,0.0468836,4.84506,2.66478,367,0.0463555,334,0.0691355,701,0.115491,80.9592,276,0.0440385,343,0.219758,619,0.263796,163.29
650,30,0.109343,0.0710727,7.37759,4.79543,300,0.0687602,276,0.100236,576,0.168996,97.3419,225,0.0786839,285,0.321368,510,0.400052,204.026
750,30,0.139382,0.104536,9.84099,7.38074,263,0.100233,244,0.140411,507,0.240644,122.007,197,0.112553,254,0.450659,451,0.563211,254.008
850,30,0.176677,0.150176,13.9624,11.868,240,0.141917,224,0.19069,464,0.332607,154.329,178,0.155021,234,0.612727,412,0.767747,316.312
950,30,0.222811,0.211671,17.5558,16.678,225,0.195281,212,0.251875,437,0.447156,195.407,166,0.176517,223,0.808699,389,0.985216,383.249
1000,30,0.250547,0.250547,19.5647,19.5647,219,0.226939,207,0.287377,426,0.514317,219.099,161,0.203922,218,0.924638,379,1.12856,427.724
1050,30,0.302115,0.317221,21.1691,22.2275,214,0.266981,203,0.330819,417,0.5978,249.283,156,0.258995,214,1.05895,370,1.31794,487.638
1075,30,0.412757,0.443714,19.4048,20.8602,211,0.307287,201,0.372186,412,0.679474,279.943,153,0.321112,212,1.14926,365,1.47037,536.685
1100,30,0.910184,1.0012,21.1078,23.2185,209,0.437945,199,0.498883,408,0.936828,382.226,150,0.455682,209,1.32419,359,1.77987,638.973
1125,30,3.17354,3.57023,26.4995,29.812,206,0.977302,196,1.013,402,1.9903,800.1,147,0.928648,205,1.90097,352,2.82962,996.025
1150,30,11.3346,13.0348,36.4984,41.9731,202,2.87943,193,2.8298,395,5.70924,2255.15,143,2.26849,201,3.76625,344,6.03475,2075.95
1175,30,30.2326,35.5234,52.2041,61.3398,198,7.27373,190,7.05711,388,14.3308,5560.37,140,5.43483,197,8.04969,337,13.4845,4544.28
1200,30,59.7267,71.672,81.8586,98.2303,194,14.1308,186,13.6315,380,27.7624,10549.7,137,10.241,193,14.7434,330,24.9844,8244.84
1250,30,137.995,172.493,227.272,284.09,185,32.0939,178,30.9989,363,63.0929,22902.7,130,22.8144,187,32.9362,317,55.7507,17673
